Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Q1_Stepsize       Critic_Q2_Stepsize       Actor_Loss               Actor_Stepsize           Alpha_Loss               Alpha                    Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
43                       0.30865664031770496      186252                   0.0                      589.1364212766364        0.048624014005132804     1.983190728167507        0                        0                        0.999271464              0.05                     0.31118162965484614      0.0003                   0.0003                   0.7852060569287711       0.0003                   -0.0007759462002532759   [0.00569431]             7.328364372253418        1.0                      0.7639293273289999       1e-05                    1446                     0.34604595601558685      1.08893616994222         0.7208450635274252       0.7415439784526825       0.30512726803620654      
44                       0.31666454818513656      190394                   0.0                      588.8248892888753        0.048427030455799595     1.9828068792016322       0                        0                        0.999254992              0.05                     0.31249859839549904      0.0003                   0.0003                   0.8120628595778528       0.0003                   -0.0012039012084738591   [0.00580055]             7.2905828302556825       1.0                      0.7730796987360172       1e-05                    1479                     0.34419175831958504      1.086187420469342        0.727136234442393        0.741916298866272        0.3018942649918373       
45                       0.32473937895562915      194526                   0.0                      589.1939931774815        0.048396369461210946     1.9819799455762106       0                        0                        0.999238424              0.05                     0.30538793546127657      0.0003                   0.0003                   0.7751638298595753       0.0003                   -0.0004645767408075337   [0.00582524]             7.252183625192353        1.0                      0.7676768254752111       1e-05                    1512                     0.3474543311379173       1.066020657317807        0.7518338660399119       0.7451934516429901       0.29873567157321507      
46                       0.33279443972640566      198646                   0.0                      589.3794611654241        0.04851530183615134      1.9811110200249094       0                        0                        0.999221896              0.05                     0.31209707552186067      0.0003                   0.0003                   0.792920150385053        0.0003                   -0.0016001616224486017   [0.00597253]             7.239416440327962        1.0                      0.768168697754542        1e-05                    1544                     0.34499262273311615      1.0632201830546062       0.7176490624745687       0.7361437976360321       0.2984912544488907       
47                       0.34084484550688005      202805                   0.0                      588.8604793921425        0.048424736027219376     1.980237481968825        0                        0                        0.999205416              0.05                     0.30875815661125766      0.0003                   0.0003                   0.7489712453195465       0.0003                   0.00041943064588095      [0.00594429]             7.228209293249882        1.0                      0.7854123452697138       1e-05                    1577                     0.3440058881586248       1.0570735546073529       0.746378501256307        0.7399208148320516       0.29865978221700645      
48                       0.34889328055911595      206950                   0.0                      588.8292973531118        0.04857195813718599      1.9795805877439518       0                        0                        0.99918878               0.05                     0.31610146424971597      0.0003                   0.0003                   0.7980215203480658       0.0003                   -0.0015915767016173121   [0.00607251]             7.188034442940143        1.0                      0.7793047163221573       1e-05                    1610                     0.34086228380299577      1.0722427753487018       0.7065643767515818       0.7294281721115112       0.2946210100193216       
49                       0.3570052468114429       211079                   0.0                      588.89561306501          0.048507224845731535     1.9786901481210597       0                        0                        0.9991722000000001       0.05000000000000001      0.3073533017278911       0.0003                   0.0003                   0.7662518297312767       0.0003                   0.00025566372424900993   [0.00604058]             7.236738956335819        1.0                      0.7695561707621872       1e-05                    1643                     0.347567081451416        1.0488171240296025       0.7617577115694681       0.7369266549746195       0.2991684566844593       
50                       0.3651490012142393       215235                   0.0                      590.2030861161272        0.048372906432283806     1.9779082298574886       0                        0                        0.999155684              0.05                     0.3130415038702655       0.0003                   0.0003                   0.7721392659627657       0.0003                   -0.00023825428532760844  [0.00606564]             7.221588211830216        1.0                      0.7729622522989908       1e-05                    1676                     0.344709463793822        1.0628398548473013       0.7310369511445364       0.728964497645696        0.2972620713590371       
51                       0.373230220940378        219375                   0.0                      590.2886624705902        0.048191277904663106     1.9775153383254078       0                        0                        0.99913906               0.05                     0.316242077287942        0.0003                   0.0003                   0.7714028553943949       0.0003                   -0.0007632771887145254   [0.00611739]             7.232168794882418        1.0                      0.7728448251281121       1e-05                    1709                     0.3448120463978161       1.0699041154649522       0.7495576937993368       0.7310344775517782       0.2983637723055753       
52                       0.3812715243630939       223519                   0.0                      590.5261014011576        0.048303161258290754     1.9768414711662128       0                        0                        0.9991225                0.05                     0.3125923446063832       0.0003                   0.0003                   0.7636814799602111       0.0003                   0.0008325764997967059    [0.00607176]             7.226153903537327        1.0                      0.7751938598324554       1e-05                    1742                     0.3454583389590485       1.0743901609170317       0.7633441587289175       0.731896976629893        0.2979867241599343       
53                       0.38932321276929643      227641                   0.0                      591.396573356024         0.0483728501197665       1.976382670562793        0                        0                        0.999105924              0.05                     0.31043900733810975      0.0003                   0.0003                   0.7697756217315644       0.0003                   -0.00044325013173206266  [0.00610292]             7.2091052532196045       1.0                      0.775436153014501        1e-05                    1774                     0.34252546230951947      1.0785181721051533       0.7491857012112936       0.7290235360463461       0.297015647093455        
54                       0.397297815879186        231774                   0.0                      590.653574933988         0.04847289440739577      1.9758304709728156       0                        0                        0.999089436              0.05                     0.3116627987660734       0.0003                   0.0003                   0.7727030022589433       0.0003                   -3.8584619595698304e-05  [0.00610496]             7.234450754493174        1.0                      0.7682640865595655       1e-05                    1807                     0.3458476451912311       1.081057076502328        0.7744048436482748       0.7316678961118063       0.2986673056477248       
55                       0.4053252414862315       235901                   0.0                      590.1349825709482        0.04855178674839636      1.975512364882144        0                        0                        0.9990729039999999       0.049999999999999996     0.3089683118338919       0.0003                   0.0003                   0.7590947418722812       0.0003                   -0.0001963015040738799   [0.00609815]             7.223379294077556        1.0                      0.7701066434383392       1e-05                    1839                     0.3445631315310796       1.081164836883545        0.7696412901083628       0.7307945390542349       0.2976352671782176       
56                       0.41338924361599816      240020                   0.0                      589.194849324002         0.048711141300122225     1.9750829064121647       0                        0                        0.9990563960000001       0.05000000000000001      0.3101731320478033       0.0003                   0.0003                   0.7526586089864139       0.0003                   -0.00037282814045572085  [0.0061602]              7.173975070317586        1.0                      0.7750727534294128       1e-05                    1871                     0.34223103523254395      1.0732377370198567       0.7537867724895477       0.72788338859876         0.2945779512325923       
57                       0.42152566274007164      244178                   0.0                      590.1343984617872        0.04866674237328273      1.9746522170790208       0                        0                        0.99903992               0.05                     0.31117163552704113      0.0003                   0.0003                   0.7496054535558466       0.0003                   0.0006041213265561132    [0.00609904]             7.163195523348722        1.0                      0.7645056079132387       1e-05                    1904                     0.34661020413793703      1.0478487111101247       0.7662890354792277       0.7300553520520529       0.2945255125411833       
58                       0.42958557102415296      248323                   0.0                      590.3047381672245        0.04880488742549854      1.9744064252125706       0                        0                        0.999023288              0.05                     0.3193823786582984       0.0003                   0.0003                   0.782538755534374        0.0003                   -0.0001912186428219948   [0.00611982]             7.185827775435015        1.0                      0.7724924858170326       1e-05                    1937                     0.34321897198455503      1.0782220628526475       0.7570972243944804       0.7276704808076223       0.2954206370344065       
59                       0.43764395422405666      252463                   0.0                      589.7098098851342        0.04900149733268362      1.9739972910531267       0                        0                        0.999006708              0.05                     0.31294476497753154      0.0003                   0.0003                   0.7842927506041629       0.0003                   -0.0005691361558236894   [0.00615729]             7.149326054736822        1.0                      0.7649754032944188       1e-05                    1970                     0.34555859035915804      1.0721103205825344       0.7859571079413096       0.7318735122680664       0.2914703012716891       
60                       0.44574606425232355      256608                   0.0                      589.3064891479244        0.04901314430447268      1.9735853825385183       0                        0                        0.9989901480000001       0.05000000000000001      0.3026228434165063       0.0003                   0.0003                   0.7712597692643794       0.0003                   0.0002759082931834916    [0.00613736]             7.142617350876933        1.0                      0.7662674104324495       1e-05                    2003                     0.34597719558561685      1.0740108875313192       0.7840296427408854       0.731181263923645        0.29111283716529307      
61                       0.45392937421798707      260751                   0.0                      588.4162537438938        0.04917596981489857      1.9727827630501658       0                        0                        0.998973568              0.05                     0.3066371130052213       0.0003                   0.0003                   0.7620296325422663       0.0003                   0.00021769113860000875   [0.00612317]             7.121583803735599        1.0                      0.7709655087403577       1e-05                    2036                     0.34538499273435036      1.0857597890526358       0.766700545946757        0.7281180520852407       0.28820810895977594      
62                       0.462052527334955        264898                   0.0                      588.5612803936573        0.049467160100891625     1.9721823535324534       0                        0                        0.998956996              0.05                     0.3000901382421816       0.0003                   0.0003                   0.7609894912428782       0.0003                   0.0007096148633019156    [0.00605776]             7.106014752628827        1.0                      0.7736669983526673       1e-05                    2069                     0.34423075781928164      1.0650320149431325       0.760669618844986        0.7280684014161428       0.2888435402301827       
63                       0.47018733395470513      269053                   0.0                      588.0836326708425        0.04976904805420704      1.9713109098775354       0                        0                        0.998940408              0.05                     0.3034396219748114       0.0003                   0.0003                   0.7900724599247156       0.0003                   -0.0003738375385683673   [0.0060827]              7.075693072694722        1.0                      0.7662674104324495       1e-05                    2102                     0.34737888490310825      1.055004717123629        0.760374923547109        0.7279190818468729       0.28571465039494065      
