Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
30                       0.05636130240228441      133448                   0.0                      582.0208322519359        0.06024636498021167      0.7163795071729122       0                        0                        0.9994829359999999       0.049999999999999996     1.5476514920592308       0.005                    0.3370999018661678       2e-05                    0.6078003902609149       0.31323487               1.8849983                6.0742050325027614       1.0                      0.8733850922247376       1e-04                    1022                     0.30186686371311994      1.0800207118795375       0.727946271498998        0.7261459529399872       0.22870683429217098      
31                       0.058290385206540424     137630                   0.0                      582.0747052173697        0.061336471264165464     0.7173114497988614       0                        0                        0.9994662080000001       0.05000000000000001      1.4530472252517939       0.005                    0.31136229168623686      2e-05                    0.539486434077844        0.2590451                1.8192552                6.043955407961451        1.0                      0.8793752458360459       1e-04                    1055                     0.29950703514946825      1.0909881977119833       0.7252014776070913       0.7184340755144755       0.22745826509263778      
32                       0.06014709737565782      141809                   0.0                      582.2559529776269        0.06197272265887238      0.7177683002325923       0                        0                        0.99944948               0.05                     1.763855654746294        0.005                    0.31123475451022387      2e-05                    0.5557170552201569       -0.32468712              1.6253295                5.993834062056108        1.0                      0.8767912508261325       1e-04                    1088                     0.3020304959229749       1.075691358007566        0.7461403508981069       0.725529283285141        0.22454302720349242      
33                       0.061954986651738486     145991                   0.0                      582.1962180710234        0.06251910581861912      0.7184460385160306       0                        0                        0.999432764              0.05                     1.5033232420682907       0.005                    0.3194269604670505       2e-05                    0.5268895367626101       -0.35271886              1.7393951                5.929520192772451        1.0                      0.8823116186893348       1e-04                    1121                     0.30019275588218614      1.0729340447319877       0.6785360078016917       0.7117679715156555       0.22070822812090016      
34                       0.06385444925891029      150173                   0.0                      581.9582701957822        0.063380924104825        0.7188685937051096       0                        0                        0.9994160360000001       0.05000000000000001      1.3776587372024853       0.005                    0.3266981646108131       2e-05                    0.5780038773082197       -0.36925113              1.7979614                5.860272031841856        1.0                      0.8831338015469639       1e-04                    1154                     0.30135169655385646      1.0692910666417592       0.7008657852808634       0.7128049830595652       0.21572686927487153      
35                       0.06567614793777465      154355                   0.0                      582.3209990963626        0.06395098610105289      0.7193443798815807       0                        0                        0.999399308              0.05                     1.2892047483474016       0.005                    0.31259939291824895      2e-05                    0.5445736456507196       -0.3923442               1.3788                   5.804081772312974        1.0                      0.8830162973114938       1e-04                    1187                     0.3001911327092334       1.0735920414780125       0.6386534174283346       0.7046168545881907       0.21221640615752246      
36                       0.06763680928283268      158537                   0.0                      581.8226433239706        0.06406142128709198      0.7199677018997516       0                        0                        0.99938258               0.05                     1.3542403125514586       0.005                    0.32120605480546754      2e-05                    0.5334302359260619       0.85021824               1.3865553                5.719505310058594        1.0                      0.8921776877509222       1e-04                    1220                     0.2964725735211613       1.0748556117818813       0.6195779144763947       0.693281888961792        0.20649619295139507      
37                       0.0695627377430598       162719                   0.0                      582.4477559391521        0.06416431660977298      0.7201712506560036       0                        0                        0.999365852              0.05                     1.2653467127432425       0.005                    0.31717735591034096      2e-05                    0.5416666707023978       0.0510141                1.8005648                5.654582476375079        1.0                      0.8877144630509193       1e-04                    1253                     0.2989668701634262       1.0653905386876577       0.705130954583486        0.7096419235070547       0.20179777675204805      
38                       0.07136901146835752      166901                   0.0                      581.7997839802543        0.06400806171589486      0.7202430789258089       0                        0                        0.999349124              0.05                     1.3960378660509984       0.005                    0.3096203062062462       2e-05                    0.519864340002338        0.42860654               1.7420149                5.6292101156831995       1.0                      0.8912381258877842       1e-04                    1286                     0.2978869688631309       1.0675526435929115       0.6182386974493662       0.687000165383021        0.20137619972229004      
39                       0.0732801506916682       171083                   0.0                      581.3142269599143        0.0636486300528976       0.720556554990646        0                        0                        0.999332396              0.05                     1.3339820491770904       0.005                    0.3382414615092178       2e-05                    0.6107073673047125       0.44078356               1.7107418                5.590015295780066        1.0                      0.8925300559612235       1e-04                    1319                     0.29812157274496676      1.0622726209235913       0.6627794802188873       0.7026622990767161       0.19963320096333823      
40                       0.07521263884173499      175265                   0.0                      581.7459342017994        0.06340254078394338      0.7208133265912422       0                        0                        0.999315668              0.05                     1.168316837400198        0.005                    0.31986710987985134      2e-05                    0.5520833362825215       0.18953829               1.4585173                5.527453412913313        1.0                      0.8986376656426324       1e-04                    1352                     0.29807085461086696      1.0510692596435547       0.6714039544264475       0.6981361409028372       0.19592954173232568      
